0040144c	FUN_0040144c	004013a4	GetStartupInfoA
004014b0	FUN_004014b0	00401470	LocalAlloc
00401508	FUN_00401508	004014b0	FUN_004014b0
00401550	FUN_00401550	00401508	FUN_00401508
00401550	FUN_00401550	00401538	FUN_00401538
004015c0	FUN_004015c0	00401508	FUN_00401508
004015c0	FUN_004015c0	00401538	FUN_00401538
00401654	FUN_00401654	00401508	FUN_00401508
00401654	FUN_00401654	00401480	VirtualAlloc
00401654	FUN_00401654	00401488	VirtualFree
004016b8	FUN_004016b8	00401508	FUN_00401508
004016b8	FUN_004016b8	00401480	VirtualAlloc
004016b8	FUN_004016b8	00401488	VirtualFree
00401730	FUN_00401730	00401488	VirtualFree
00401730	FUN_00401730	00401538	FUN_00401538
004017e8	FUN_004017e8	00401480	VirtualAlloc
0040187c	FUN_0040187c	00401488	VirtualFree
004018fc	FUN_004018fc	00401730	FUN_00401730
004018fc	FUN_004018fc	00401550	FUN_00401550
004018fc	FUN_004018fc	004017e8	FUN_004017e8
004018fc	FUN_004018fc	00401654	FUN_00401654
004018fc	FUN_004018fc	00401538	FUN_00401538
0040198c	FUN_0040198c	00401730	FUN_00401730
0040198c	FUN_0040198c	00401550	FUN_00401550
0040198c	FUN_0040198c	004016b8	FUN_004016b8
0040198c	FUN_0040198c	004017e8	FUN_004017e8
0040198c	FUN_0040198c	00401538	FUN_00401538
00401ab0	FUN_00401ab0	004015c0	FUN_004015c0
00401ab0	FUN_00401ab0	0040187c	FUN_0040187c
00401ab0	FUN_00401ab0	00401730	FUN_00401730
00401ab0	FUN_00401ab0	00401550	FUN_00401550
00401b3c	FUN_00401b3c	00401490	InitializeCriticalSection
00401b3c	FUN_00401b3c	004014a0	LeaveCriticalSection
00401b3c	FUN_00401b3c	00401498	EnterCriticalSection
00401b3c	FUN_00401b3c	00401500	FUN_00401500
00401b3c	FUN_00401b3c	00401470	LocalAlloc
00401c00	FUN_00401c00	004014a0	LeaveCriticalSection
00401c00	FUN_00401c00	00401498	EnterCriticalSection
00401c00	FUN_00401c00	004014a8	DeleteCriticalSection
00401c00	FUN_00401c00	00401488	VirtualFree
00401c00	FUN_00401c00	00401500	FUN_00401500
00401c00	FUN_00401c00	00401478	LocalFree
00401d74	FUN_00401d74	00401f48	FUN_00401f48
00401da4	FUN_00401da4	004023b8	FUN_004023b8
00401dc8	FUN_00401dc8	00401da4	FUN_00401da4
00401df0	FUN_00401df0	00401ce0	FUN_00401ce0
00401e60	FUN_00401e60	00401ce0	FUN_00401ce0
00401e98	FUN_00401e98	004015c0	FUN_004015c0
00401e98	FUN_00401e98	00401ab0	FUN_00401ab0
00401e98	FUN_00401e98	00401d74	FUN_00401d74
00401e98	FUN_00401e98	00401d44	FUN_00401d44
00401e98	FUN_00401e98	00401dc8	FUN_00401dc8
00401f48	FUN_00401f48	00401e98	FUN_00401e98
00401fd0	FUN_00401fd0	00401da4	FUN_00401da4
0040201c	FUN_0040201c	00401e60	FUN_00401e60
0040201c	FUN_0040201c	00401df0	FUN_00401df0
0040201c	FUN_0040201c	00401d74	FUN_00401d74
0040201c	FUN_0040201c	00401fd0	FUN_00401fd0
0040201c	FUN_0040201c	00401550	FUN_00401550
004020a8	FUN_004020a8	0040201c	FUN_0040201c
004020a8	FUN_004020a8	004018fc	FUN_004018fc
004020d4	FUN_004020d4	0040201c	FUN_0040201c
004020d4	FUN_004020d4	0040198c	FUN_0040198c
00402134	FUN_00402134	004020a8	FUN_004020a8
00402134	FUN_00402134	00402108	FUN_00402108
00402134	FUN_00402134	00401ce0	FUN_00401ce0
00402134	FUN_00402134	00401f48	FUN_00401f48
00402228	FUN_00402228	004042fc	FUN_004042fc
00402228	FUN_00402228	004014a0	LeaveCriticalSection
00402228	FUN_00402228	00401b3c	FUN_00401b3c
00402228	FUN_00402228	00401498	EnterCriticalSection
00402228	FUN_00402228	00402134	FUN_00402134
004023b8	FUN_004023b8	004042fc	FUN_004042fc
004023b8	FUN_004023b8	004014a0	LeaveCriticalSection
004023b8	FUN_004023b8	00401b3c	FUN_00401b3c
004023b8	FUN_004023b8	00401498	EnterCriticalSection
004023b8	FUN_004023b8	00401fd0	FUN_00401fd0
004023b8	FUN_004023b8	00401ce0	FUN_00401ce0
004023b8	FUN_004023b8	00401f48	FUN_00401f48
0040255c	FUN_0040255c	004020d4	FUN_004020d4
0040255c	FUN_0040255c	00401da4	FUN_00401da4
0040255c	FUN_0040255c	00401fd0	FUN_00401fd0
0040255c	FUN_0040255c	00401ce0	FUN_00401ce0
0040255c	FUN_0040255c	00401f48	FUN_00401f48
00402738	FUN_00402738	0040255c	FUN_0040255c
00402738	FUN_00402738	004014a0	LeaveCriticalSection
00402738	FUN_00402738	00401b3c	FUN_00401b3c
00402738	FUN_00402738	00401498	EnterCriticalSection
00402738	FUN_00402738	00402a04	FUN_00402a04
00402738	FUN_00402738	004023b8	FUN_004023b8
00402738	FUN_00402738	00402228	FUN_00402228
004027fc	FUN_004027fc	00402958	FUN_00402958
004027fc	FUN_004027fc	00402228	FUN_00402228
0040281c	FUN_0040281c	00402958	FUN_00402958
0040281c	FUN_0040281c	004023b8	FUN_004023b8
0040283c	FUN_0040283c	00402958	FUN_00402958
0040283c	FUN_0040283c	00402738	FUN_00402738
0040283c	FUN_0040283c	004023b8	FUN_004023b8
0040283c	FUN_0040283c	00402228	FUN_00402228
0040288c	FUN_0040288c	00406fb0	FUN_00406fb0
004028ac	FUN_004028ac	00406fb0	FUN_00406fb0
00402900	FUN_00402900	00404818	FUN_00404818
0040290c	FUN_0040290c	00406fb0	FUN_00406fb0
0040290c	FUN_0040290c	00402900	FUN_00402900
00402958	FUN_00402958	0040290c	FUN_0040290c
00402964	FUN_00402964	00402958	FUN_00402958
00402964	FUN_00402964	00406fb0	FUN_00406fb0
00402984	FUN_00402984	00406fb0	FUN_00406fb0
00402994	FUN_00402994	00402984	FUN_00402984
00402994	FUN_00402994	0040137c	GetLastError
004029e4	FUN_004029e4	00406fb0	FUN_00406fb0
00402a44	FUN_00402a44	00404f30	FUN_00404f30
00402a44	FUN_00402a44	00401334	CharNextA
00402b30	FUN_00402b30	004048d4	FUN_004048d4
00402b30	FUN_00402b30	0040138c	GetModuleFileNameA
00402b30	FUN_00402b30	00402a44	FUN_00402a44
00402b30	FUN_00402b30	004049c4	FUN_004049c4
00402b30	FUN_00402b30	00401374	GetCommandLineA
00402b90	FUN_00402b90	00401444	GetTickCount
00402b90	FUN_00402b90	0040143c	QueryPerformanceCounter
00402c68	FUN_00402c68	00404824	FUN_00404824
00402d00	FUN_00402d00	004012d4	CloseHandle
00402d10	FUN_00402d10	00402d00	FUN_00402d00
00402d10	FUN_00402d10	0040137c	GetLastError
00402edc	FUN_00402edc	00404da4	FUN_00404da4
00402edc	FUN_00402edc	00402a04	FUN_00402a04
00402edc	FUN_00402edc	004032a8	FUN_004032a8
00402edc	FUN_00402edc	00404ba4	FUN_00404ba4
00402f44	FUN_00402f44	00402984	FUN_00402984
00402f8c	FUN_00402f8c	00402f44	FUN_00402f44
00402fa0	FUN_00402fa0	00402984	FUN_00402984
00402fa0	FUN_00402fa0	0040137c	GetLastError
0040302c	FUN_0040302c	00402fa0	FUN_00402fa0
0040304c	FUN_0040304c	00402984	FUN_00402984
004030d4	FUN_004030d4	00402a04	FUN_00402a04
004030e0	FUN_004030e0	00402a04	FUN_00402a04
004031f0	FUN_004031f0	0040320c	FUN_0040320c
004031f0	FUN_004031f0	0040325c	FUN_0040325c
0040320c	FUN_0040320c	00402984	FUN_00402984
0040320c	FUN_0040320c	00402994	FUN_00402994
0040320c	FUN_0040320c	0040131c	SetFilePointer
0040325c	FUN_0040325c	00402984	FUN_00402984
0040325c	FUN_0040325c	004012ec	GetFileSize
0040325c	FUN_0040325c	00402994	FUN_00402994
0040330c	FUN_0040330c	00402984	FUN_00402984
0040330c	FUN_0040330c	004012dc	CreateFileA
0040330c	FUN_0040330c	0040137c	GetLastError
0040330c	FUN_0040330c	004012f4	GetStdHandle
004033ec	FUN_004033ec	0040330c	FUN_0040330c
00403408	FUN_00403408	00402984	FUN_00402984
00403408	FUN_00403408	0040131c	SetFilePointer
00403510	FUN_00403510	0040351c	FUN_0040351c
004038c4	FUN_004038c4	004038bc	GetKeyboardType
004038f4	FUN_004038f4	004013e4	RegOpenKeyExA
004038f4	FUN_004038f4	004013ec	RegQueryValueExA
004038f4	FUN_004038f4	004013dc	RegCloseKey
004039c4	thunk_FUN_00402958	00402958	FUN_00402958
