TForm10	21	Form10 | () | () | () | () | Label4 | Label4 | Label4 | Label4 | Label4 | X	Form10.OnClose=FormClose | Form10.OnCreate=FormCreate | Form10.OnShow=FormShow | bt3.OnClick=bt3Click | xibutton1.OnClick=XiButton1Click | btconstruir.OnClick=btconstruirClick
TForm11	23	Form11 | 1ª divisão | 3ª divisão | 4ª divisão | 2ª divisão | Registre já sua cópia em www.brasfoot.com | Na versão registrada você poderá escolher um time de qualquer divisão | Sem o registro você pode escolher times só da última divisão | Versão não registrada do BrasFoot | Seu nome: | Treinar time do país: | Nacionalidade: | Label10	Form11.OnClose=FormClose | Form11.OnCreate=FormCreate | Form11.OnKeyDown=FormKeyDown | Form11.OnPaint=FormPaint | labvn2.OnClick=labvn2Click | labvn3.OnClick=labvn3Click | labvn4.OnClick=labvn4Click | Edit1.OnChange=Edit1Change | combo1.OnChange=combo2Change | button1.OnClick=button1Click
TForm12	4	Form12 | Inicializando o jogo...	Form12.OnClose=FormClose | Form12.OnCreate=FormCreate | Form12.OnKeyDown=FormKeyDown | Form12.OnPaint=FormPaint | Timer1.OnTimer=Timer1Timer
TForm13	150	Form13 | Cyberfoot 2015 - www.cyberfoot.org | Registre sua cópia,  clique aqui | Label4 | Button3 | Button5 | Button6 | line-up | Finanças do Time | - | Empréstimo bancário | Propor contrato | - | Vender jogador | Aposentar jogador | - | Escolher número | - | Histórico do Jogador | - | Cancelar Empréstimo | Comprar jogador | - | Pôr para empréstimo | Não pôr para empréstimo | Salvar jogo | - | Opções | - | Pedir demissão | - | Sair do jogo | - | Sobre o jogo | Ranking de Técnicos | - | Adicionar/Remover ténicos | - | Últimas contratações de técnicos | Campeões | - | Artilheiros | - | Ranking de clubes | - | Transferências de Jogadores | - | Histórico completo de confrontos | - | Time da Rodada | - | Bola de Ouro | - | Time do Ano | - | Jogos do seu time | - | Tabela de jogos | - | Tabela Sul-Americana | - | Tabela Copa | - | 2ª fase - Competições internacionais | - | Jogos Amistosos	Form13.OnClose=FormClose | Form13.OnCreate=FormCreate | Form13.OnKeyDown=FormKeyDown | Form13.OnShow=FormShow | nova_barra.OnMouseDown=barraMouseDown | nova_barra.OnMouseMove=barraMouseMove | imgj.OnClick=Label323Click | Image9.OnClick=Image9Click | Label23.OnClick=Label23Click | Label24.OnClick=Label24Click | Image10.OnClick=Label51Click | lb_infonext.OnClick=lb_infonextClick | lb_tec.OnClick=lb_tecClick | lb_cores.OnClick=Label51Click | labmoney.OnClick=Image9Click | label32.OnClick=Label323Click | Image13.OnClick=Image13Click | icon_arbitro.OnClick=Label20Click | lb_conf1.OnClick=lb_infonextClick | lb_conf2.OnClick=lb_infonextClick | lb_conf3.OnClick=Label6Click | lb_conf3.OnMouseMove=lb_conf3MouseMove | lb_conf3.OnMouseLeave=lb_conf3MouseLeave | lb_conf4.OnClick=lb_infonextClick | lb_conf4.OnMouseMove=lb_conf3MouseMove | lb_conf4.OnMouseLeave=lb_conf3MouseLeave | lb_conft1.OnClick=Label49Click | lb_conft1.OnMouseMove=lb_conf3MouseMove | lb_conft1.OnMouseLeave=lb_conf3MouseLeave | lb_conft2.OnClick=Label49Click | lb_conft2.OnMouseMove=lb_conf3MouseMove | lb_conft2.OnMouseLeave=lb_conf3MouseLeave | lb_infojog.OnClick=lb_infonextClick | lb_infojogn.OnClick=lb_infonextClick | Image4.OnClick=Image4Click | Button1.OnClick=Button1Click | Button2.OnClick=Button2Click | Button3.OnClick=Button3Click | Button5.OnClick=Button5Click | Button6.OnClick=Button6Click | Button7.OnClick=Button7Click | gridview1.OnCellClick=gridview1CellClick | gridview1.OnCellColoring=gridview1CellColoring | gridview1.OnDblClick=gridview1DblClick | gridview1.OnHeaderClick=gridview1HeaderClick | gridview1.OnSelectCell=gridview1SelectCell | gridview1.OnCellFormating=gridview1CellFormating | btvender.OnClick=btvenderClick | btalterasal.OnClick=btalterasalClick | btaposenta.OnClick=btaposentaClick | Button4.OnClick=Button4Click | btjogar.OnClick=btjogarClick | Finanas1.OnClick=Finanas1Click | Emprstimobancrio1.OnClick=Emprstimobancrio1Click | PopupMenu1.OnPopup=PopupMenu1Popup | Alterarsalrio1.OnClick=Alterarsalrio1Click | Venderjogador1.OnClick=Venderjogador1Click | Aposentarjogador1.OnClick=Aposentarjogador1Click | Escolhernmero1.OnClick=Escolhernmero1Click | HistricoJogos1.OnClick=HistricoJogos1Click | CancelarEmprstimo1.OnClick=CancelarEmprstimo1Click | Comprarjogador1.OnClick=Comprarjogador1Click | Disponibilizarparaemprstimo1.OnClick=Disponibilizarparaemprstimo1Click | Retirardoemprstimo1.OnClick=Retirardoemprstimo1Click | Salvar.OnClick=SalvarClick | opcoes.OnClick=opcoesClick | Sedemitir1.OnClick=Sedemitir1Click | Sairdojogo1.OnClick=Sairdojogo1Click | Sobreojogo1.OnClick=Sobreojogo1Click | PopupMenu3.OnPopup=PopupMenu3Popup | MenuItem3.OnClick=MenuItem3Click | MenuItem5.OnClick=MenuItem5Click | ltimascontrataesdetcnicos1.OnClick=ltimascontrataesdetcnicos1Click | PopupMenu4.OnPopup=PopupMenu4Popup | Campees1.OnClick=Campees1Click | Artilheiros1.OnClick=Artilheiros1Click | Rankingdeclubes1.OnClick=Rankingdeclubes1Click | RansfernciasJogadores1.OnClick=RansfernciasJogadores1Click | Histricocompletodejogos1.OnClick=Histricocompletodejogos1Click | mn_timerodada.OnClick=mn_timerodadaClick | mn_boladeouro.OnClick=mn_boladeouroClick | mn_timedoano.OnClick=mn_timedoanoClick | PopupMenu7.OnPopup=PopupMenu7Popup | mn_seutime.OnClick=mn_seutimeClick | MenuItem7.OnClick=MenuItem7Click | mn_sul.OnClick=abelaSulAmericana1Click | mn_copa.OnClick=mn_copaClick | mn_lib.OnClick=mn_libClick | JogosAmistosos1.OnClick=JogosAmistosos1Click | Timer1.OnTimer=Timer1Timer
TForm14	60	Form14 | Selecione o time: | Dinheiro em caixa do seu time | Label22 | Você pode ter no máximo 2 jogadores emprestados no seu time. | Você pode ter no máximo 2 jogadores emprestados no seu time. | Label4 | Técnico: | Reputação: | colocacao | CD: | CT: | colocacao | X | Histórico de jogos	Form14.OnClose=FormClose | Form14.OnCreate=FormCreate | Form14.OnKeyDown=FormKeyDown | Form14.OnPaint=FormPaint | Image8.OnClick=Image8Click | Image8.OnMouseDown=Image8MouseDown | Image8.OnMouseMove=Image8MouseMove | Label3.OnClick=Label3Click | Image2.OnClick=bt3Click | Image13.OnClick=Image13Click | Image4.OnClick=Image4Click | XiButton2.OnClick=XiButton2Click | NextGrid1.OnSelectCell=NextGrid1SelectCell | joglist.OnCellColoring=joglistCellColoring | joglist.OnDblClick=joglistDblClick | joglist.OnSelectCell=joglistSelectCell | joglist.OnCellFormating=joglistCellFormating | bt4.OnClick=bt4Click | bt1.OnClick=bt1Click | bt2.OnClick=bt2Click | bt3.OnClick=bt3Click | Histricodejogos1.OnClick=Histricodejogos1Click | vendej.OnAnchorClick=vendejAnchorClick
TForm15	19	teste1 | teste2 | x	Form15.OnClose=FormClose | Form15.OnCreate=FormCreate | Form15.OnKeyDown=FormKeyDown | Form15.OnPaint=FormPaint | Form15.OnShow=FormShow | Gridview1.OnCellColoring=Gridview1CellColoring | bt3.OnClick=bt3Click
TForm16	15	Form16 | X | >> | <<	Form16.OnClose=FormClose | Form16.OnCreate=FormCreate | Form16.OnPaint=FormPaint | XiButton1.OnClick=XiButton1Click | XiButton2.OnClick=XiButton2Click | XiButton3.OnClick=XiButton3Click | gridview1.OnDblClick=gridview1DblClick
TForm17	5	Form17 | Brasfoot 2010 | O seu sistema está usando fontes grandes, o que deixará as telas do jogo cortadas. | Vá em propriedades de vídeo do Windows e mude a fonte para normal 96 DPI, e reinicie o computador para jogar. | OK	Button1.OnClick=Button1Click
TForm18	18	d | Mostrar: | X	Form18.OnClose=FormClose | Form18.OnCreate=FormCreate | Form18.OnKeyDown=FormKeyDown | Form18.OnPaint=FormPaint | Form18.OnShow=FormShow | list1.OnCellColoring=list1CellColoring | list1.OnDblClick=list1DblClick | list1.OnSortColumn=list1SortColumn | list1.OnCellFormating=list1CellFormating | bt3.OnClick=bt3Click | combo1.OnChange=combo1Change
TForm19	11	Form19 | Label1 | Label4 | X	Form19.OnClose=FormClose | Form19.OnCreate=FormCreate | Form19.OnPaint=FormPaint | grid1.OnCellColoring=grid1CellColoring | grid1.OnCellFormating=grid1CellFormating | XiButton1.OnClick=XiButton1Click
TForm1	13	Cyberfoot 2015 | Select your language: | SAIR | Button1	Form1.OnActivate=FormActivate | Form1.OnClose=FormClose | Form1.OnCreate=FormCreate | Form1.OnKeyDown=FormKeyDown | Form1.OnShow=FormShow | Image2.OnMouseDown=Image2MouseDown | Image2.OnMouseMove=Image2MouseMove | TntLabel1.OnClick=TntLabel1Click | Shape1.OnMouseDown=Shape1MouseDown | Shape2.OnMouseDown=Shape2MouseDown | Shape3.OnMouseDown=Shape3MouseDown | Shape4.OnMouseDown=Shape4MouseDown | Button1.OnClick=Button1Click | comboi2.OnChange=comboi2Change
TForm20	17	Form20 | mostrando apenas os 100 primeiros, para mostrar todos | X	Form20.OnClose=FormClose | Form20.OnCreate=FormCreate | Form20.OnKeyDown=FormKeyDown | Form20.OnPaint=FormPaint | Label4.OnClick=Label1Click | combo2.OnChange=combo2Change | t1.OnCellColoring=t1CellColoring | t1.OnDblClick=t1DblClick | XiButton1.OnClick=XiButton1Click | combopais.OnChange=combopaisChange | combo1.OnChange=combo1Select
TForm21	16	Carregar jogo | Técnico: | Técnico: | Time: | Técnico: | Próximo Jogo: | Técnico: | Label4 | Apagar  | Cancelar | Carregar	Form21.OnActivate=FormCreate | Form21.OnClose=FormClose | Form21.OnPaint=FormPaint | Form21.OnShow=FormShow | BitBtn3.OnClick=BitBtn3Click | BitBtn2.OnClick=BitBtn2Click | BitBtn1.OnClick=BitBtn1Click | grid1.OnSelectCell=grid1SelectCell
TForm22	40	Form22 | Entradas: | Ingressos...........: | Venda jogadores: | Prêmios..............: | Sub-total: | Saídas: | Compra jogadores: | Estádio................: | Salários...............: | Sub-total: | Empréstimo........: | Juros empréstimo: | Saldo: | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Salário semanal: | Dinheiro em caixa: | $0 | $0 | Juros semanais: | $0 | Patrocínio e Sócio Torcedor..: | 0 | Multa rescisão....: | 0 | Diversos.............: | 0 | X	Form22.OnClose=FormClose | Form22.OnCreate=FormCreate | Form22.OnKeyDown=FormKeyDown | Form22.OnPaint=FormPaint | Form22.OnShow=FormShow | XiButton2.OnClick=XiButton2Click
TForm23	49	Form23 | Time | Nome | Z | Força: | 0 | Principal característica: | ------ | 0 | Idade: | Energia: | pais | Salário: | 0 | Jogos: | 0 | Status: | Preço inicial: | 0 | 0 | 0 | 0 | 0 | Dinheiro em caixa: | Venda de jogador em leilão | Default | Faça aqui sua oferta em milhares de $, por exemplo: 300 equivale à 300 mil, 1200 à 1 milhão e duzentos etc | Sua oferta: | Valor maior que seu dinheiro em caixa | Técnico | Saldo negativo, seu lance foi 0. | chbutton1 | resultado | Label16	Form23.OnClose=FormClose | Form23.OnCreate=FormCreate | Form23.OnKeyDown=FormKeyDown | Form23.OnPaint=FormPaint | Edit1.OnChange=Edit1Change | chbutton1.OnClick=CHButton1Click | Timer1.OnTimer=Timer1Timer | Timer2.OnTimer=Timer2Timer
TForm24	14	Form24 | Novo salário: | Salário atual: | $0 | Nome | Contrato por: | Contrato termina em:	Form24.OnClose=FormClose | Form24.OnCreate=FormCreate | Form24.OnKeyDown=FormKeyDown | Form24.OnPaint=FormPaint | Form24.OnShow=FormShow | Edit1.OnChange=Edit1Change | UpDown1.OnClick=UpDown1Click | CHButton1.OnClick=CHButton1Click | bt3.OnClick=bt3Click
TForm25	8	Form25 | 0 | Label4	Form25.OnClose=FormClose | Form25.OnCreate=FormCreate | Form25.OnKeyDown=FormKeyDown | Form25.OnPaint=FormPaint | Form25.OnShow=FormShow | button1.OnClick=button1Click | button2.OnClick=button2Click | Timer1.OnTimer=Timer1Timer
TForm26	17	Form26	Form26.OnClose=FormClose | Form26.OnCreate=FormCreate | Form26.OnKeyDown=FormKeyDown | Form26.OnPaint=FormPaint | Form26.OnShow=FormShow | gridc.OnCellFormating=gridcCellFormating | gridi.OnCellFormating=gridiCellFormating | combopais.OnChange=combopaisChange | TntBitBtn1.OnClick=bttimeanoClick | bt3.OnClick=bt3Click | Timer1.OnTimer=Timer1Timer
