004012d4	CloseHandle	6
004012dc	CreateFileA	6
004012e4	GetFileType	6
004012ec	GetFileSize	6
004012f4	GetStdHandle	6
00401304	ReadFile	6
00401314	SetEndOfFile	6
0040131c	SetFilePointer	6
00401324	UnhandledExceptionFilter	6
0040132c	WriteFile	6
00401334	CharNextA	6
0040133c	CreateThread	6
00401344	ExitThread	6
0040134c	ExitProcess	6
00401354	MessageBoxA	6
0040135c	FindClose	6
00401364	FindFirstFileA	6
0040136c	FreeLibrary	6
00401374	GetCommandLineA	6
0040137c	GetLastError	6
00401384	GetLocaleInfoA	6
0040138c	GetModuleFileNameA	6
00401394	GetModuleHandleA	6
0040139c	GetProcAddress	6
004013a4	GetStartupInfoA	6
004013ac	GetThreadLocale	6
004013b4	LoadLibraryExA	6
004013bc	LoadStringA	6
004013c4	lstrcpynA	6
004013cc	lstrlenA	6
004013d4	MultiByteToWideChar	6
004013dc	RegCloseKey	6
004013e4	RegOpenKeyExA	6
004013ec	RegQueryValueExA	6
004013f4	WideCharToMultiByte	6
004013fc	VirtualQuery	6
00401404	SysAllocStringLen	6
0040140c	SysReAllocStringLen	6
00401414	SysFreeString	6
0040141c	InterlockedIncrement	6
00401424	InterlockedDecrement	6
0040142c	GetCurrentThreadId	6
00401434	GetVersion	6
0040143c	QueryPerformanceCounter	6
00401444	GetTickCount	6
0040144c	FUN_0040144c	34
00401470	LocalAlloc	6
00401478	LocalFree	6
00401480	VirtualAlloc	6
00401488	VirtualFree	6
00401490	InitializeCriticalSection	6
00401498	EnterCriticalSection	6
004014a0	LeaveCriticalSection	6
004014a8	DeleteCriticalSection	6
004014b0	FUN_004014b0	79
00401500	FUN_00401500	6
00401508	FUN_00401508	48
00401538	FUN_00401538	24
00401550	FUN_00401550	112
004015c0	FUN_004015c0	147
00401654	FUN_00401654	99
004016b8	FUN_004016b8	119
00401730	FUN_00401730	184
004017e8	FUN_004017e8	146
0040187c	FUN_0040187c	125
004018fc	FUN_004018fc	142
